id,nome,credencial,estado
0,Rodrigo Jose Pereira de Lima,FIFA,PE
1,Matheus Delgado Candançan,CD,SP
2,Braulio da Silva Machado,FIFA,SC
3,Maguielson Lima Barbosa,AB,DF
4,Flavio Rodrigues de Souza,FIFA,SP
5,Yuri Elino Ferreira da Cruz,AB,RJ
6,Alex Gomes Stefano,AB,RJ
7,Jonathan Benkenstein Pinheiro,CD,RS
8,Andre Luiz Skettino Policarpo Bento,AB,MG
9,Bruno Pereira Vasconcelos,AB,BA
10,Marcelo de Lima Henrique,MTR,CE
11,Paulo Belence Alves dos Prazeres Filho,CD,PE
12,Joao Vitor Gobi,CD,SP
13,Anderson Daronco,FIFA,RS
14,Luiz Flavio de Oliveira,MTR,SP
15,Lucas Paulo Torezin,AB,PR
16,Paulo Cesar Zanovelli da Silva,FIFA,MG
17,Bruno Mota Correia,BAS,RJ
18,Wilton Pereira Sampaio,FIFA,GO
19,Bruno Arleu de Araujo,FIFA,RJ
20,Ramon Abatti Abel,FIFA,SC
21,Raphael Claus,FIFA,SP
22,Arthur Gomes Rabelo,AB,ES
23,Rafael Rodrigo Klein,FIFA,RS
24,Felipe Fernandes de Lima,AB,MG
25,Edina Alves Batista,FIFA,SP
26,Fabio Augusto Santos Sa Junior,AB,SE
27,Caio Max Augusto Vieira,AB,RN
28,Davi de Oliveira Lacerda,CD,ES
29,Savio Pereira Sampaio,MTR,DF
30,Gustavo Ervino Bauermann,AB,SC
31,Kleber Ariel Goncalves da Silva,BAS,PR
32,Anderson Ribeiro Goncalves,CD,GO
33,Wagner do Nascimento Magalhaes,MTR,RJ
34,Emerson Ricardo de Almeida Andrade,AB,BA
35,Jefferson Ferreira de Moraes,AB,GO
