id,nome,estado,completo
0,Guarani,SP,Guarani/SP
1,Avaí,SC,Avaí/SC
2,Vila Nova,GO,Vila Nova/GO
3,Novorizontino,SP,Novorizontino/SP
4,Criciúma,SC,Criciúma/SC
5,Tombense,MG,Tombense/MG
6,Ituano,SP,Ituano/SP
7,Ceará,CE,Ceará/CE
8,Mirassol,SP,Mirassol/SP
9,Chapecoense,SC,Chapecoense/SC
10,Vitória,BA,Vitória/BA
11,Ponte Preta,SP,Ponte Preta/SP
12,Sampaio Corrêa,MA,Sampaio Corrêa/MA
13,Atlético,GO,Atlético/GO
14,Juventude,RS,Juventude/RS
15,Botafogo,SP,Botafogo/SP
16,Londrina,PR,Londrina/PR
17,Abc,RN,Abc/RN
18,Crb,AL,Crb/AL
19,Sport,PE,Sport/PE
